depature_time,real_depature_time,stop_name,board_num,exit_num,travel_num,lat,lon
8:52,8:52,学研奈良登美ヶ丘駅,4,0,4,34.72669,135.753585
8:54,8:55,北登美ヶ丘一丁目,1,1,4,34.723361,135.751789
8:55,8:56,東登美ヶ丘四丁目,1,0,5,34.72228,135.754629
8:56,8:56,東登美ヶ丘五丁目,2,1,6,34.722395,135.757724
8:57,8:57,東登美ヶ丘六丁目,1,0,7,34.723489,135.761189
8:58,8:58,東登美ヶ丘六丁目東,1,0,8,34.724452,135.7648
9:00,8:58,押熊・神功,4,1,11,34.724049,135.771524
9:02,9:03,精華桜が丘三丁目,4,0,15,34.725054,135.775759
9:03,9:03,兜台三丁目,0,0,15,34.724164,135.779441
9:04,9:04,兜台二丁目,0,0,15,34.724669,135.783206
9:05,9:04,兜台一丁目西,0,0,15,34.72463,135.785544
9:05,9:05,兜台一丁目,0,0,15,34.724642,135.787481
9:09,,高の原駅,,,,34.72255,135.791246
