depature_time,real_depature_time,stop_name,board_num,exit_num,travel_num,lat,lon
18:24,18:24,学園前駅（北）,25,0,25,34.697719,135.750806
18:25,18:25,鶴舞町一丁目,0,0,25,34.701208,135.750451
18:26,18:26,鶴舞町二丁目,0,0,25,34.702435,135.75024
18:27,18:27,鶴舞町六丁目,0,1,24,34.704755,135.75016
18:28,18:29,登美ヶ丘一丁目,0,0,24,34.708298,135.749622
18:29,18:30,大渕橋,0,0,24,34.708193,135.746686
18:30,18:30,西登美ヶ丘一丁目,0,0,24,34.71226,135.746425
18:31,18:31,西登美ヶ丘二丁目,0,0,24,34.714111,135.745023
18:33,18:33,西登美ヶ丘四丁目,0,4,20,34.715123,135.740578
18:36,18:37,西登美ヶ丘五丁目,0,8,12,34.71367,135.738063
18:38,18:40,松陽台二丁目,0,3,9,34.716417,135.735584
18:39,18:42,真弓四丁目,0,4,5,34.718057,135.732068
18:40,,真弓三丁目,0,2,3,34.71982,135.730071
18:41,,真弓二丁目,0,1,2,34.721931,135.727946
18:42,18:44,真弓一丁目,0,0,2,34.723062,135.725283
18:46,18:46,学研北生駒駅,1,0,3,34.724268,135.723616
18:47,18:49,北大和一丁目,0,0,3,34.724773,135.725003
18:48,18:49,四季の森公園,0,0,3,34.725533,135.727283
18:49,18:51,北大和四丁目,0,0,3,34.728073,135.72768
18:51,18:54,奈良先端科学技術大学院大学,,,,34.732669,135.731644
