depature_time,real_depature_time,stop_name,board_num,exit_num,travel_num,lat,lon
7:21,7:19,大和西大寺駅,,,4.0,34.69366,135.783787
7:22,,西大寺,0.0,0.0,4.0,34.6952,135.781131
7:24,,秋篠三和町,0.0,0.0,4.0,34.699964,135.778474
7:25,,秋篠寺,0.0,0.0,4.0,34.70328,135.777668
7:27,,北秋篠,0.0,0.0,4.0,34.706173,135.776344
7:29,,秋篠西,0.0,0.0,4.0,34.705812,135.770391
7:31,7:31,平城中山南口,0.0,2.0,2.0,34.709612,135.769952
7:32,,平城中山,0.0,0.0,2.0,34.71161,135.7705
7:33,,平城中山北口,0.0,0.0,2.0,34.713644,135.770647
7:34,,南押熊,0.0,0.0,2.0,34.716076,135.769763
7:37,7:37,押熊,,,,34.717898,135.769952
