depature_time,real_depature_time,stop_name,board_num,exit_num,travel_num,lat,lon
10:07,10:08,大和西大寺駅,,,5.0,34.69366,135.783787
10:09,,二条町,0.0,0.0,5.0,34.694005,135.790116
10:11,,佐紀町・大極殿,0.0,0.0,5.0,34.694265,135.793941
10:12,,平城宮跡・遺構展示館,0.0,0.0,5.0,34.694076,135.799181
10:13,10:17,北法華寺町,0.0,1.0,4.0,34.694041,135.805042
10:15,,航空自衛隊,0.0,0.0,4.0,34.696865,135.806255
10:16,,法華寺北町,0.0,0.0,4.0,34.693398,135.806455
10:17,,法華寺,0.0,0.0,4.0,34.692333,135.806445
10:18,,一条高校前,0.0,0.0,4.0,34.691557,135.812661
10:21,10:21,不退寺口,3.0,0.0,7.0,34.691694,135.812758
10:22,10:23,教育大附属中学校,2.0,0.0,9.0,34.69157,135.816546
10:22,,奈良高校,0.0,0.0,9.0,34.691527,135.819378
10:23,10:26,佐保小学校,4.0,0.0,13.0,34.691533,135.820929
10:24,,育英学園,0.0,0.0,13.0,34.691595,135.824565
10:26,,法蓮仲町,0.0,0.0,13.0,34.691345,135.825925
10:27,,佐保橋,0.0,0.0,13.0,34.68906,135.825965
10:28,10:30,内侍原町,0.0,2.0,11.0,34.68735,135.825975
10:30,10:31,近鉄奈良駅,0.0,4.0,7.0,34.684487,135.827195
10:31,10:33,油阪船橋商店街,,,,34.684446,135.822167
